user_id,session_id,event_name,event_timestamp,cart_value,cart_item_count,app_version,is_checkout_redesign,traffic_source
u0001,s00001,cart,2026-07-15 11:48:00,87.93,5,5.2.0,1,organic
u0001,s00001,checkout,2026-07-15 12:04:20,87.93,5,5.2.0,1,paid
u0001,s00001,payment,2026-07-15 12:16:36,87.93,5,5.2.0,1,push
u0001,s00001,purchase,2026-07-15 12:26:11,87.93,5,5.2.0,1,organic
u0002,s00002,cart,2026-06-12 11:46:00,77.91,5,5.1.3,0,paid
u0002,s00002,checkout,2026-06-12 12:02:28,77.91,5,5.1.3,0,organic
u0002,s00003,cart,2026-07-08 12:42:00,108.03,4,5.2.0,1,paid
u0002,s00003,checkout,2026-07-08 12:56:47,108.03,4,5.2.0,1,paid
u0002,s00003,payment,2026-07-08 13:12:04,108.03,4,5.2.0,1,push
u0002,s00003,purchase,2026-07-08 13:16:50,108.03,4,5.2.0,1,paid
u0002,s00004,cart,2026-07-18 20:44:00,39.85,2,5.2.0,1,organic
u0003,s00005,cart,2026-06-26 17:18:00,176.65,2,5.1.3,0,push
u0003,s00006,cart,2026-07-01 19:34:00,29.77,1,5.2.0,1,organic
u0003,s00006,checkout,2026-07-01 19:39:40,29.77,1,5.2.0,1,organic
u0003,s00007,cart,2026-07-10 15:30:00,83.76,2,5.2.0,1,organic
u0004,s00008,cart,2026-07-03 14:31:00,20.74,6,5.2.0,1,organic
u0004,s00009,cart,2026-06-19 09:15:00,28.37,4,5.1.3,0,paid
u0004,s00009,checkout,2026-06-19 09:23:49,28.37,4,5.1.3,0,paid
u0004,s00009,payment,2026-06-19 09:39:08,28.37,4,5.1.3,0,paid
u0004,s00009,purchase,2026-06-19 09:49:44,28.37,4,5.1.3,0,paid
u0005,s00010,cart,2026-06-13 20:13:00,115.59,3,5.1.3,0,organic
u0006,s00011,cart,2026-06-15 08:26:00,85.49,5,5.1.3,0,organic
u0006,s00011,checkout,2026-06-15 08:34:18,85.49,5,5.1.3,0,push
u0006,s00011,payment,2026-06-15 08:49:22,85.49,5,5.1.3,0,paid
u0006,s00011,purchase,2026-06-15 08:56:49,85.49,5,5.1.3,0,organic
u0007,s00012,cart,2026-07-05 22:17:00,150.18,1,5.2.0,1,organic
u0007,s00013,cart,2026-07-19 22:18:00,83.53,4,5.2.0,1,push
u0007,s00013,checkout,2026-07-19 22:27:32,83.53,4,5.2.0,1,paid
u0007,s00013,payment,2026-07-19 22:31:10,83.53,4,5.2.0,1,organic
u0007,s00013,purchase,2026-07-19 22:42:48,83.53,4,5.2.0,1,push
u0007,s00014,cart,2026-07-08 18:53:00,156.01,5,5.2.0,1,organic
u0007,s00014,checkout,2026-07-08 19:02:36,156.01,5,5.2.0,1,organic
u0007,s00014,payment,2026-07-08 19:09:06,156.01,5,5.2.0,1,paid
u0007,s00014,purchase,2026-07-08 19:18:17,156.01,5,5.2.0,1,paid
u0008,s00015,cart,2026-06-25 09:30:00,67.85,3,5.1.3,0,push
u0008,s00015,checkout,2026-06-25 09:36:21,67.85,3,5.1.3,0,organic
u0008,s00015,payment,2026-06-25 09:47:03,67.85,3,5.1.3,0,organic
u0008,s00015,purchase,2026-06-25 10:05:05,67.85,3,5.1.3,0,organic
u0008,s00016,cart,2026-07-09 13:07:00,174.87,4,5.2.0,1,paid
u0008,s00016,checkout,2026-07-09 13:08:42,174.87,4,5.2.0,1,paid
u0008,s00016,payment,2026-07-09 13:10:54,174.87,4,5.2.0,1,paid
u0008,s00016,purchase,2026-07-09 13:27:34,174.87,4,5.2.0,1,organic
u0009,s00017,cart,2026-07-18 10:59:00,57.54,6,5.2.0,1,organic
u0010,s00018,cart,2026-06-17 19:10:00,61.45,1,5.1.3,0,paid
u0010,s00018,checkout,2026-06-17 19:18:07,61.45,1,5.1.3,0,organic
u0010,s00018,payment,2026-06-17 19:23:38,61.45,1,5.1.3,0,push
u0010,s00018,purchase,2026-06-17 19:33:04,61.45,1,5.1.3,0,organic
u0010,s00019,cart,2026-06-17 15:35:00,32.88,2,5.1.3,0,paid
u0010,s00019,checkout,2026-06-17 15:40:04,32.88,2,5.1.3,0,push
u0010,s00019,payment,2026-06-17 15:54:25,32.88,2,5.1.3,0,paid
u0010,s00019,purchase,2026-06-17 15:55:43,32.88,2,5.1.3,0,push
u0010,s00020,cart,2026-06-28 18:31:00,156.82,4,5.1.3,0,paid
u0010,s00020,checkout,2026-06-28 18:42:35,156.82,4,5.1.3,0,paid
u0010,s00020,payment,2026-06-28 18:53:47,156.82,4,5.1.3,0,paid
u0010,s00020,purchase,2026-06-28 19:02:36,156.82,4,5.1.3,0,organic
u0011,s00021,cart,2026-07-16 19:58:00,147.56,4,5.2.0,1,paid
u0011,s00021,checkout,2026-07-16 20:00:08,147.56,4,5.2.0,1,paid
u0011,s00021,payment,2026-07-16 20:11:14,147.56,4,5.2.0,1,organic
u0012,s00022,cart,2026-07-05 14:55:00,120.62,2,5.2.0,1,organic
u0012,s00022,checkout,2026-07-05 15:04:21,120.62,2,5.2.0,1,paid
u0012,s00022,payment,2026-07-05 15:07:42,120.62,2,5.2.0,1,paid
u0012,s00022,purchase,2026-07-05 15:19:22,120.62,2,5.2.0,1,organic
u0012,s00023,cart,2026-06-11 17:04:00,48.38,6,5.1.3,0,push
u0012,s00023,checkout,2026-06-11 17:07:27,48.38,6,5.1.3,0,organic
u0012,s00023,payment,2026-06-11 17:11:55,48.38,6,5.1.3,0,paid
u0012,s00023,purchase,2026-06-11 17:12:57,48.38,6,5.1.3,0,push
u0013,s00024,cart,2026-07-12 14:09:00,50.00,4,5.2.0,1,paid
u0013,s00024,checkout,2026-07-12 14:15:10,50.00,4,5.2.0,1,paid
u0014,s00025,cart,2026-06-17 15:58:00,108.30,2,5.1.3,0,organic
u0014,s00025,checkout,2026-06-17 16:13:16,108.30,2,5.1.3,0,organic
u0014,s00025,payment,2026-06-17 16:28:34,108.30,2,5.1.3,0,paid
u0014,s00025,purchase,2026-06-17 16:43:56,108.30,2,5.1.3,0,paid
u0014,s00026,cart,2026-07-14 19:16:00,86.58,3,5.2.0,1,paid
u0014,s00026,checkout,2026-07-14 19:32:06,86.58,3,5.2.0,1,paid
u0014,s00026,payment,2026-07-14 19:44:42,86.58,3,5.2.0,1,push
u0014,s00026,purchase,2026-07-14 19:54:43,86.58,3,5.2.0,1,organic
u0015,s00027,cart,2026-07-02 22:38:00,136.17,3,5.2.0,1,paid
u0015,s00027,checkout,2026-07-02 22:50:14,136.17,3,5.2.0,1,paid
u0015,s00027,payment,2026-07-02 22:55:54,136.17,3,5.2.0,1,organic
u0015,s00027,purchase,2026-07-02 22:58:13,136.17,3,5.2.0,1,organic
u0015,s00028,cart,2026-07-12 19:08:00,23.50,3,5.2.0,1,push
u0015,s00028,checkout,2026-07-12 19:14:12,23.50,3,5.2.0,1,paid
u0015,s00028,payment,2026-07-12 19:26:45,23.50,3,5.2.0,1,paid
u0015,s00028,purchase,2026-07-12 19:33:01,23.50,3,5.2.0,1,organic
u0016,s00029,cart,2026-06-20 20:07:00,88.55,1,5.1.3,0,paid
u0016,s00029,checkout,2026-06-20 20:15:43,88.55,1,5.1.3,0,organic
u0016,s00029,payment,2026-06-20 20:34:06,88.55,1,5.1.3,0,organic
u0016,s00029,purchase,2026-06-20 20:35:22,88.55,1,5.1.3,0,paid
u0016,s00030,cart,2026-07-12 18:47:00,123.64,5,5.2.0,1,organic
u0016,s00030,checkout,2026-07-12 18:59:06,123.64,5,5.2.0,1,paid
u0016,s00030,payment,2026-07-12 19:17:26,123.64,5,5.2.0,1,paid
u0016,s00030,purchase,2026-07-12 19:21:06,123.64,5,5.2.0,1,organic
u0017,s00031,cart,2026-07-14 09:08:00,15.80,1,5.2.0,1,push
u0017,s00031,checkout,2026-07-14 09:12:06,15.80,1,5.2.0,1,paid
u0017,s00031,payment,2026-07-14 09:17:30,15.80,1,5.2.0,1,organic
u0017,s00031,purchase,2026-07-14 09:35:56,15.80,1,5.2.0,1,paid
u0017,s00032,cart,2026-06-14 22:26:00,120.65,4,5.1.3,0,paid
u0017,s00032,checkout,2026-06-14 22:35:02,120.65,4,5.1.3,0,push
u0017,s00032,payment,2026-06-14 22:50:17,120.65,4,5.1.3,0,push
u0017,s00033,cart,2026-06-27 22:41:00,69.69,4,5.1.3,0,push
u0018,s00034,cart,2026-06-24 09:42:00,44.48,6,5.1.3,0,paid
u0018,s00034,checkout,2026-06-24 09:44:50,44.48,6,5.1.3,0,push
u0018,s00034,payment,2026-06-24 09:50:40,44.48,6,5.1.3,0,paid
u0018,s00034,purchase,2026-06-24 10:08:53,44.48,6,5.1.3,0,paid
u0019,s00035,cart,2026-06-17 13:49:00,33.38,5,5.1.3,0,organic
u0019,s00035,checkout,2026-06-17 13:54:08,33.38,5,5.1.3,0,paid
u0019,s00035,payment,2026-06-17 14:00:15,33.38,5,5.1.3,0,organic
u0019,s00035,purchase,2026-06-17 14:13:05,33.38,5,5.1.3,0,paid
u0020,s00036,cart,2026-07-06 12:03:00,29.80,4,5.2.0,1,paid
u0020,s00037,cart,2026-07-15 20:23:00,96.28,1,5.2.0,1,organic
u0020,s00037,checkout,2026-07-15 20:25:46,96.28,1,5.2.0,1,paid
u0020,s00038,cart,2026-06-10 08:30:00,153.74,4,5.1.3,0,organic
u0020,s00038,checkout,2026-06-10 08:45:04,153.74,4,5.1.3,0,organic
u0020,s00038,payment,2026-06-10 08:50:08,153.74,4,5.1.3,0,paid
u0020,s00038,purchase,2026-06-10 09:08:53,153.74,4,5.1.3,0,push
u0021,s00039,cart,2026-06-26 12:29:00,94.95,4,5.1.3,0,organic
u0021,s00039,checkout,2026-06-26 12:33:41,94.95,4,5.1.3,0,paid
u0021,s00039,payment,2026-06-26 12:41:08,94.95,4,5.1.3,0,organic
u0021,s00039,purchase,2026-06-26 12:55:29,94.95,4,5.1.3,0,organic
u0021,s00040,cart,2026-07-04 13:27:00,61.75,3,5.2.0,1,push
u0021,s00040,checkout,2026-07-04 13:43:04,61.75,3,5.2.0,1,organic
u0021,s00040,payment,2026-07-04 13:46:31,61.75,3,5.2.0,1,organic
u0021,s00040,purchase,2026-07-04 13:58:39,61.75,3,5.2.0,1,paid
u0022,s00041,cart,2026-06-27 16:21:00,123.24,4,5.1.3,0,push
u0022,s00041,checkout,2026-06-27 16:35:46,123.24,4,5.1.3,0,organic
u0022,s00041,payment,2026-06-27 16:46:08,123.24,4,5.1.3,0,organic
u0022,s00041,purchase,2026-06-27 16:53:17,123.24,4,5.1.3,0,organic
u0023,s00042,cart,2026-06-21 21:35:00,71.22,3,5.1.3,0,paid
u0024,s00043,cart,2026-06-29 17:43:00,118.54,1,5.1.3,0,paid
u0024,s00043,checkout,2026-06-29 17:52:01,118.54,1,5.1.3,0,paid
u0024,s00043,payment,2026-06-29 18:02:22,118.54,1,5.1.3,0,push
u0024,s00044,cart,2026-06-28 18:25:00,19.97,6,5.1.3,0,organic
u0025,s00045,cart,2026-07-14 15:21:00,35.07,3,5.2.0,1,push
u0025,s00045,checkout,2026-07-14 15:24:03,35.07,3,5.2.0,1,paid
u0025,s00046,cart,2026-06-12 12:28:00,121.85,4,5.1.3,0,paid
u0025,s00046,checkout,2026-06-12 12:37:13,121.85,4,5.1.3,0,paid
u0025,s00047,cart,2026-07-10 18:43:00,110.02,5,5.2.0,1,push
u0026,s00048,cart,2026-06-11 08:13:00,59.84,2,5.1.3,0,paid
u0026,s00048,checkout,2026-06-11 08:23:20,59.84,2,5.1.3,0,organic
u0026,s00049,cart,2026-06-15 10:24:00,99.60,2,5.1.3,0,paid
u0026,s00049,checkout,2026-06-15 10:36:04,99.60,2,5.1.3,0,organic
u0026,s00049,payment,2026-06-15 10:38:31,99.60,2,5.1.3,0,organic
u0026,s00049,purchase,2026-06-15 10:41:51,99.60,2,5.1.3,0,paid
u0027,s00050,cart,2026-06-30 14:18:00,27.81,1,5.1.3,0,push
u0027,s00051,cart,2026-06-24 21:44:00,166.20,1,5.1.3,0,organic
u0027,s00051,checkout,2026-06-24 21:52:27,166.20,1,5.1.3,0,paid
u0027,s00051,payment,2026-06-24 21:55:52,166.20,1,5.1.3,0,push
u0027,s00051,purchase,2026-06-24 22:04:13,166.20,1,5.1.3,0,paid
u0028,s00052,cart,2026-07-04 16:32:00,41.35,3,5.2.0,1,push
u0028,s00052,checkout,2026-07-04 16:37:15,41.35,3,5.2.0,1,organic
u0029,s00053,cart,2026-07-05 20:48:00,120.75,2,5.2.0,1,organic
u0029,s00053,checkout,2026-07-05 21:03:43,120.75,2,5.2.0,1,paid
u0029,s00053,payment,2026-07-05 21:15:23,120.75,2,5.2.0,1,push
u0030,s00054,cart,2026-07-21 12:50:00,55.24,1,5.2.0,1,push
u0030,s00054,checkout,2026-07-21 13:00:29,55.24,1,5.2.0,1,organic
u0031,s00055,cart,2026-06-12 18:55:00,176.11,1,5.1.3,0,paid
u0031,s00055,checkout,2026-06-12 19:08:29,176.11,1,5.1.3,0,paid
u0031,s00055,payment,2026-06-12 19:10:57,176.11,1,5.1.3,0,paid
u0031,s00055,purchase,2026-06-12 19:22:35,176.11,1,5.1.3,0,organic
u0031,s00056,cart,2026-07-02 15:06:00,147.49,3,5.2.0,1,organic
u0031,s00056,checkout,2026-07-02 15:12:02,147.49,3,5.2.0,1,paid
u0031,s00056,payment,2026-07-02 15:27:35,147.49,3,5.2.0,1,paid
u0031,s00056,purchase,2026-07-02 15:39:58,147.49,3,5.2.0,1,push
u0032,s00057,cart,2026-07-11 18:38:00,17.01,6,5.2.0,1,push
u0032,s00058,cart,2026-07-13 12:16:00,132.48,6,5.2.0,1,paid
u0032,s00058,checkout,2026-07-13 12:27:05,132.48,6,5.2.0,1,paid
u0032,s00058,payment,2026-07-13 12:39:24,132.48,6,5.2.0,1,organic
u0033,s00059,cart,2026-06-19 16:24:00,118.68,3,5.1.3,0,paid
u0033,s00059,checkout,2026-06-19 16:41:05,118.68,3,5.1.3,0,organic
u0033,s00059,payment,2026-06-19 16:42:28,118.68,3,5.1.3,0,push
u0033,s00059,purchase,2026-06-19 16:49:49,118.68,3,5.1.3,0,organic
u0033,s00060,cart,2026-07-05 10:04:00,58.88,1,5.2.0,1,paid
u0033,s00060,checkout,2026-07-05 10:21:02,58.88,1,5.2.0,1,push
u0033,s00060,payment,2026-07-05 10:26:40,58.88,1,5.2.0,1,organic
u0033,s00061,cart,2026-07-20 20:57:00,36.47,4,5.2.0,1,organic
u0033,s00061,checkout,2026-07-20 21:05:28,36.47,4,5.2.0,1,paid
u0034,s00062,cart,2026-06-17 16:15:00,61.23,4,5.1.3,0,paid
u0034,s00062,checkout,2026-06-17 16:30:29,61.23,4,5.1.3,0,push
u0034,s00062,payment,2026-06-17 16:48:02,61.23,4,5.1.3,0,organic
u0034,s00062,purchase,2026-06-17 16:55:40,61.23,4,5.1.3,0,paid
u0034,s00063,cart,2026-06-11 18:30:00,158.35,5,5.1.3,0,organic
u0034,s00063,checkout,2026-06-11 18:47:07,158.35,5,5.1.3,0,push
u0034,s00064,cart,2026-07-15 22:32:00,33.34,4,5.2.0,1,organic
u0034,s00064,checkout,2026-07-15 22:40:28,33.34,4,5.2.0,1,push
u0034,s00064,payment,2026-07-15 22:54:31,33.34,4,5.2.0,1,organic
u0034,s00064,purchase,2026-07-15 23:02:55,33.34,4,5.2.0,1,organic
u0035,s00065,cart,2026-07-11 22:06:00,152.34,6,5.2.0,1,push
u0035,s00065,checkout,2026-07-11 22:11:02,152.34,6,5.2.0,1,push
u0035,s00065,payment,2026-07-11 22:27:46,152.34,6,5.2.0,1,paid
u0035,s00065,purchase,2026-07-11 22:44:14,152.34,6,5.2.0,1,paid
u0035,s00066,cart,2026-07-03 08:16:00,45.09,2,5.2.0,1,paid
u0035,s00066,checkout,2026-07-03 08:33:27,45.09,2,5.2.0,1,organic
u0035,s00066,payment,2026-07-03 08:41:46,45.09,2,5.2.0,1,organic
u0036,s00067,cart,2026-06-29 15:04:00,27.07,4,5.1.3,0,paid
u0036,s00067,checkout,2026-06-29 15:21:36,27.07,4,5.1.3,0,paid
u0036,s00067,payment,2026-06-29 15:32:03,27.07,4,5.1.3,0,organic
u0036,s00067,purchase,2026-06-29 15:40:39,27.07,4,5.1.3,0,organic
u0036,s00068,cart,2026-07-03 16:23:00,19.64,5,5.2.0,1,paid
u0036,s00068,checkout,2026-07-03 16:40:35,19.64,5,5.2.0,1,organic
u0036,s00068,payment,2026-07-03 16:56:37,19.64,5,5.2.0,1,organic
u0036,s00068,purchase,2026-07-03 17:06:24,19.64,5,5.2.0,1,organic
u0037,s00069,cart,2026-06-21 11:46:00,121.02,1,5.1.3,0,paid
u0037,s00069,checkout,2026-06-21 11:57:08,121.02,1,5.1.3,0,organic
u0037,s00069,payment,2026-06-21 12:08:49,121.02,1,5.1.3,0,paid
u0037,s00069,purchase,2026-06-21 12:24:33,121.02,1,5.1.3,0,organic
u0037,s00070,cart,2026-06-14 09:45:00,141.50,4,5.1.3,0,organic
u0037,s00070,checkout,2026-06-14 09:47:50,141.50,4,5.1.3,0,paid
u0037,s00070,payment,2026-06-14 09:59:09,141.50,4,5.1.3,0,paid
u0037,s00070,purchase,2026-06-14 10:17:39,141.50,4,5.1.3,0,push
u0038,s00071,cart,2026-06-16 12:22:00,156.29,1,5.1.3,0,push
u0038,s00071,checkout,2026-06-16 12:34:27,156.29,1,5.1.3,0,organic
